City,Compounded_polarity
Hyderabad,5.719
Hyderabad,-3.818
Hyderabad,8.126
Hyderabad,5.719
Hyderabad,4.019
Hyderabad,8.858
Hyderabad,7.783
Hyderabad,-3.4
Hyderabad,7.096
Hyderabad,2.732
Bangalore,7.717
Bangalore,9.445
Bangalore,6.124
Bangalore,-3.851
Bangalore,-6.288
Bangalore,2.225
Bangalore,5.106
Bangalore,6.124
Bangalore,8.176
Bangalore,8.689
Bangalore,8.392
Bangalore,2.235
Bangalore,6.239
Bangalore,5.994
Bangalore,5.719
Bangalore,5.994
Bangalore,-5.106
Bangalore,8.75
Bangalore,4.767
Bangalore,-1.027
Bangalore,5.994
Bangalore,4.019
Bangalore,6.884
Bangalore,5.994
Bangalore,3.4
Bangalore,3.612
Bangalore,3.182
Bangalore,8.126
Bangalore,8.424
Bangalore,3.4
Bangalore,4.767
Bangalore,6.114
Bangalore,5.719
Bangalore,5.719
Bangalore,-7.249
Bangalore,7.43
Bangalore,9.448
Bangalore,3.612
Bangalore,-2.942
Bangalore,2.96
Bangalore,5.719
Bangalore,8.271
Bangalore,9.485
Bangalore,8.625
Bangalore,6.249
Bangalore,9.134
Bangalore,6.688
Bangalore,8.881
Bangalore,5.719
Bangalore,8.176
Bangalore,7.096
Bangalore,-3.382
Bangalore,8.189
Bangalore,-7.208
Bangalore,8.591
Bangalore,1.69
Bangalore,6.36
Bangalore,7.964
Bangalore,6.239
Bangalore,7.405
Bangalore,8.807
Bangalore,-3.4
Bangalore,5.673
Bangalore,-3.818
Bangalore,5.719
Bangalore,3.4
Bangalore,6.531
Bangalore,9.46
Delhi,2.023
Delhi,6.512
Delhi,6.103
Delhi,2.714
Delhi,4.391
Delhi,5.719
Delhi,5.719
Delhi,5.267
Delhi,5.859
Delhi,7.506
Delhi,5.719
Delhi,3.265
Delhi,7.506
Delhi,7.506
Delhi,-1.531
Delhi,2.023
Delhi,8.519
Delhi,8.402
Delhi,8.217
Delhi,6.597
Delhi,8.519
Delhi,-6.696
Delhi,7.906
Delhi,5.423
Delhi,5.267
Delhi,-7.579
Delhi,7.783
Delhi,2.235
Delhi,3.939
Delhi,2.235
Delhi,2.235
Delhi,5.859
Delhi,-5.837
Delhi,2.96
Delhi,5.562
Delhi,0.772
Delhi,7.201
Delhi,8.622
Delhi,9.153
Delhi,8.602
Delhi,-2.96
Delhi,6.369
Delhi,5.719
Delhi,5.719
Delhi,5.994
Delhi,-2.824
Delhi,4.019
Delhi,5.994
Delhi,9.661
Delhi,-5.242
Delhi,-3.382
Delhi,-0.258
Delhi,8.71
Delhi,8.658
Delhi,5.719
Delhi,6.671
Delhi,7.946
Delhi,5.267
Delhi,5.994
Delhi,9.423
Delhi,8.36
Delhi,5.994
Delhi,5.859
Delhi,8.71
Delhi,4.404
Delhi,8.679
Delhi,6.908
Delhi,8.257
Delhi,8.743
Delhi,7.906
Delhi,4.374
Delhi,5.719
Delhi,8.658
Delhi,5.777
Delhi,6.696
Delhi,5.994
Delhi,5.826
Delhi,8.271
Delhi,2.321
Delhi,8.658
Delhi,5.777
Delhi,8.398
Delhi,8.225
Delhi,9.23
Delhi,8.879
Delhi,5.267
Delhi,5.719
Delhi,8.779
Delhi,8.741
Delhi,-5.719
Delhi,7.783
Delhi,8.074
Delhi,7.491
Delhi,8.172
Delhi,8.834
Delhi,5.267
Delhi,-4.215
Delhi,8.881
Delhi,6.369
Delhi,5.994
Delhi,8.979
Delhi,7.43
Delhi,9.08
Delhi,-4.588
Delhi,5.994
Delhi,-4.588
Delhi,6.478
Delhi,5.267
Delhi,5.994
Delhi,6.114
Delhi,-2.023
Delhi,9.594
Delhi,8.225
Delhi,4.588
Delhi,7.65
Delhi,9.448
Delhi,5.994
Delhi,3.412
Delhi,5.859
Delhi,5.994
Delhi,-4.019
Delhi,9.062
Delhi,2.002
Delhi,8.225
Delhi,7.003
Delhi,0.382
Delhi,8.126
Delhi,7.178
Delhi,7.65
Delhi,2.732
Delhi,5.994
Delhi,4.588
Delhi,5.859
Delhi,9.118
Delhi,5.719
Delhi,9.062
Delhi,2.732
Delhi,6.369
Delhi,-4.71
Delhi,5.994
Delhi,5.994
Delhi,9.042
Delhi,-5.878
Delhi,4.939
Delhi,3.804
Delhi,5.859
Delhi,6.841
Delhi,6.908
Delhi,5.859
Delhi,9.678
Delhi,-3.612
Delhi,2.732
Delhi,9.448
Delhi,9.246
Delhi,4.019
Delhi,8.807
Delhi,3.612
Delhi,2.263
Delhi,8.36
Delhi,6.58
Delhi,7.184
Delhi,8.86
Delhi,8.225
Delhi,7.783
Delhi,5.994
Delhi,6.58
Delhi,-3.382
Delhi,3.4
Delhi,5.859
Delhi,8.083
Delhi,7.125
Delhi,-4.767
Delhi,-2.764
Delhi,8.442
Delhi,7.84
Delhi,5.994
Delhi,6.369
Delhi,5.994
Delhi,-6.124
Delhi,2.96
Delhi,6.249
Delhi,-5.267
Delhi,7.579
Delhi,5.994
Delhi,2.023
Delhi,9.403
Delhi,8.271
Delhi,9.184
Delhi,6.36
Delhi,6.103
Delhi,8.679
Delhi,5.859
Delhi,8.176
Delhi,9.341
Delhi,6.688
Delhi,6.369
Delhi,5.719
Delhi,8.472
Delhi,0.869
Delhi,8.829
Delhi,4.215
Delhi,9.661
Delhi,9.531
Delhi,6.688
Delhi,6.705
Delhi,5.994
Delhi,8.02
Delhi,5.423
Delhi,5.932
Delhi,4.215
Delhi,3.612
Delhi,6.688
Delhi,5.994
Delhi,9.217
Delhi,-2.96
Delhi,8.774
Delhi,5.994
Delhi,8.225
Delhi,9.042
Delhi,8.176
Delhi,7.241
Delhi,5.859
Delhi,9.485
Delhi,8.555
Delhi,7.096
Delhi,-4.767
Delhi,5.719
Delhi,3.553
Delhi,9.118
Delhi,2.023
Delhi,5.994
Delhi,6.531
Delhi,7.096
Delhi,5.267
Delhi,5.994
Delhi,9.022
Delhi,6.531
Delhi,8.074
Delhi,8.777
Delhi,7.65
Delhi,8.225
Delhi,-4.939
Delhi,2.023
Delhi,7.096
Delhi,8.126
Delhi,6.199
Delhi,6.369
Delhi,-7.329
Delhi,7.783
Delhi,7.125
Delhi,-1.779
Delhi,8.58
Delhi,3.182
Delhi,8.316
Delhi,1.69
Delhi,8.591
Delhi,5.994
Delhi,4.215
Delhi,9.151
Delhi,8.481
Delhi,6.103
Delhi,6.369
Delhi,2.732
Delhi,-3.4
Delhi,5.994
Delhi,4.404
Delhi,-8.225
Delhi,9.678
Delhi,5.719
Delhi,5.267
Delhi,8.402
Delhi,8.625
Delhi,9.186
Delhi,5.719
Delhi,-3.818
Delhi,-7.329
Delhi,7.579
Delhi,5.994
Delhi,2.96
Delhi,5.267
Delhi,3.182
Delhi,7.506
Delhi,5.267
Delhi,5.267
Delhi,9.498
Delhi,8.074
Delhi,6.36
Delhi,-7.329
Delhi,8.807
Delhi,-3.4
Delhi,9.371
Delhi,2.023
Delhi,9.531
Delhi,5.023
Delhi,9.26
Delhi,8.225
Delhi,5.267
Jaipur,5.994
Jaipur,8.225
Jaipur,5.719
Jaipur,3.612
Jaipur,5.719
Jaipur,6.988
Jaipur,7.946
Jaipur,8.074
Jaipur,2.244
Jaipur,5.719
Jaipur,6.908
Jaipur,9.477
Jaipur,6.249
Jaipur,-8.225
Jaipur,8.176
Jaipur,5.484
Jaipur,6.762
Jaipur,5.719
Jaipur,5.994
Jaipur,5.994
Jaipur,5.423
Jaipur,5.267
Jaipur,8.271
Jaipur,2.023
Jaipur,7.43
Jaipur,9.042
Jaipur,8.625
Jaipur,2.964
Jaipur,5.719
Jaipur,9.239
Jaipur,4.588
Jaipur,9.184
Jaipur,2.96
Jaipur,5.423
Jaipur,6.784
Jaipur,5.719
Jaipur,6.688
Jaipur,6.688
Jaipur,3.612
Jaipur,6.114
Jaipur,7.579
Jaipur,2.023
Jaipur,8.91
Jaipur,8.829
Jaipur,7.65
Jaipur,7.184
Jaipur,7.5
Jaipur,9.081
Jaipur,6.24
Jaipur,7.125
Jaipur,6.531
Pune,-4.767
Pune,4.939
Pune,3.919
Pune,9.169
Pune,1.511
Pune,5.255
Pune,7.003
Pune,7.003
Pune,5.696
Pune,4.215
Pune,6.124
Pune,9.482
Pune,9.153
Pune,2.96
Pune,6.145
Pune,-2.824
Pune,2.964
Pune,5.994
Pune,6.249
Pune,3.612
Pune,4.215
Pune,2.235
Pune,4.404
Pune,7.783
Pune,6.114
Pune,5.994
Pune,8.582
Pune,5.994
Pune,9.184
Pune,8.114
Pune,8.225
Pune,-2.96
Pune,5.719
Pune,8.881
Pune,3.553
Pune,5.994
Pune,9.287
Pune,8.074
Pune,5.719
Pune,2.235
Pune,0.382
Pune,5.994
Pune,8.225
Pune,5.994
Pune,7.432
Pune,3.4
Pune,3.182
Pune,5.859
Pune,6.841
Pune,3.182
Pune,6.369
Pune,5.983
Pune,7.43
Pune,5.267
Pune,8.176
Pune,4.559
Pune,6.688
Pune,6.369
Pune,6.36
Pune,3.818
Pune,-5.267
Pune,7.096
Pune,3.612
Pune,3.987
Pune,6.688
Pune,6.369
Pune,6.58
Pune,5.719
Pune,7.399
Pune,5.994
Pune,5.106
Pune,7.65
Pune,8.271
Pune,8.516
Pune,5.719
Pune,5.267
Pune,5.719
Pune,5.267
Pune,5.994
Pune,2.023
Pune,4.199
Pune,6.352
Pune,4.019
Pune,8.316
Pune,8.55
Pune,5.994
Pune,6.36
Pune,9.042
Pune,1.655
Pune,-3.818
Pune,9.78
Pune,4.168
Pune,6.531
Pune,7.65
Pune,4.019
Coimbatore,3.182
Coimbatore,8.715
Coimbatore,3.612
Coimbatore,3.612
Coimbatore,3.612
Coimbatore,7.43
Coimbatore,8.659
Coimbatore,6.114
Coimbatore,8.625
Coimbatore,7.783
Coimbatore,5.719
Coimbatore,6.458
Coimbatore,5.994
Coimbatore,9.448
Coimbatore,-4.71
Coimbatore,7.43
Coimbatore,5.994
Coimbatore,5.994
Coimbatore,5.994
Coimbatore,8.625
Coimbatore,5.859
Coimbatore,2.023
Coimbatore,6.096
Coimbatore,6.841
Coimbatore,5.719
Coimbatore,3.182
Coimbatore,3.4
Coimbatore,6.077
Coimbatore,5.719
Coimbatore,9.501
Coimbatore,7.65
Coimbatore,8.591
Coimbatore,5.719
Coimbatore,7.639
Coimbatore,6.36
Coimbatore,8.402
Coimbatore,-3.4
Coimbatore,5.719
Coimbatore,6.688
Coimbatore,5.093
Coimbatore,3.182
Coimbatore,-3.4
Coimbatore,9.042
Coimbatore,5.994
Coimbatore,-3.612
Coimbatore,5.423
Coimbatore,8.807
Coimbatore,5.673
Coimbatore,5.423
Coimbatore,2.023
Coimbatore,6.103
Coimbatore,8.402
Coimbatore,8.779
Dubai,8.291
Dubai,9.153
Dubai,9.039
Dubai,5.994
Dubai,8.67
Dubai,2.235
Dubai,7.964
Dubai,5.267
Dubai,9.448
Dubai,6.369
Dubai,5.267
Dubai,5.994
Dubai,6.114
Dubai,5.994
Dubai,9.274
Dubai,5.859
Dubai,6.249
Dubai,9.184
Dubai,5.719
Dubai,6.688
Dubai,-5.267
Dubai,-3.612
Dubai,7.269
Dubai,9.243
Dubai,5.859
Dubai,7.65
Dubai,1.69
Dubai,-3.4
Dubai,5.859
